,index,year,cip,grads_total,grads_men,grads_women,perc_men
0,0,2016,01,35642,18034,17608,50.59760956175299
1,1,2016,03,26247,13292,12955,50.641978130834
2,2,2016,04,18353,9932,8421,54.1164932163679
3,3,2016,05,14441,4176,10265,28.917664981649473
4,4,2016,09,118042,41742,76300,35.36198980024059
5,5,2016,10,15989,10695,5294,66.88973669397711
6,6,2016,11,179405,136836,42569,76.27212173573757
7,7,2016,12,143992,27495,116497,19.09481082282349
8,8,2016,13,304681,65618,239063,21.53662355053318
9,9,2016,14,180626,140742,39884,77.91901498123194
10,10,2016,15,87752,75474,12278,86.00829610721124
11,11,2016,16,35265,10632,24633,30.148872820076562
12,12,2016,19,58281,5407,52874,9.277466069559548
13,13,2016,22,65225,27319,37906,41.884246837868915
14,14,2016,23,61715,19018,42697,30.81584703880742
15,15,2016,24,487129,186496,300633,38.28472540127974
16,16,2016,25,5715,1041,4674,18.21522309711286
17,17,2016,26,149953,60526,89427,40.36331383833601
18,18,2016,27,40681,24435,16246,60.064895159902655
19,19,2016,29,2351,1981,370,84.26201616333475
20,20,2016,30,96031,35250,60781,36.70689673126386
21,21,2016,31,68372,36713,31659,53.69595740946587
22,22,2016,38,16281,9862,6419,60.57367483569806
23,23,2016,39,32182,20939,11243,65.06432167049904
24,24,2016,40,51218,31749,19469,61.987972978249836
25,25,2016,41,6042,3567,2475,59.03674280039722
26,26,2016,42,172979,38434,134545,22.218882060828193
27,27,2016,43,153168,88758,64410,57.94813538075838
28,28,2016,44,96192,20153,76039,20.950806719893546
29,29,2016,45,194712,92149,102563,47.32579399317967
30,30,2016,46,31238,29622,1616,94.82681349638261
31,31,2016,47,106784,101115,5669,94.69115223254421
32,32,2016,48,51811,48637,3174,93.87388778444732
33,33,2016,49,32424,29073,3351,89.66506291635825
34,34,2016,50,150433,60262,90171,40.059029601217816
35,35,2016,51,957821,177532,780289,18.534987226214504
36,36,2016,52,800019,392902,407117,49.1115835998895
37,37,2016,54,34512,20192,14320,58.50718590635141
38,0,2014,01,32664,16679,15985,51.06233161890766
39,1,2014,03,25185,13082,12103,51.94361723247965
40,2,2014,04,18589,10129,8460,54.48921405132068
41,3,2014,05,14765,4336,10429,29.366745682356925
42,4,2014,09,110454,39504,70950,35.76511488945624
43,5,2014,10,16272,11265,5007,69.22935103244838
44,6,2014,11,159143,122879,36264,77.21294684654681
45,7,2014,12,165699,31008,134691,18.71345029239766
46,8,2014,13,324344,70721,253623,21.804318871321808
47,9,2014,14,154963,122312,32651,78.92980905119286
48,10,2014,15,88942,77850,11092,87.52895145150772
49,11,2014,16,37589,11210,26379,29.822554470722817
50,12,2014,19,56141,5532,50609,9.853761065887676
51,13,2014,22,74914,32154,42760,42.921216328056175
52,14,2014,23,69654,22076,47578,31.693800786745918
53,15,2014,24,443672,170326,273346,38.39007194504048
54,16,2014,25,6837,1215,5622,17.770952172005266
55,17,2014,26,138270,57458,80812,41.55492876256599
56,18,2014,27,36350,21657,14693,59.579092159559835
57,19,2014,29,1897,1599,298,84.29098576700052
58,20,2014,30,92483,33575,58908,36.30396937815598
59,21,2014,31,62518,34149,28369,54.62266867142262
60,22,2014,38,18426,11496,6930,62.390100944317815
61,23,2014,39,31512,20642,10870,65.5052043665905
62,24,2014,40,48763,29973,18790,61.46668580686176
63,25,2014,41,4654,2890,1764,62.09712075633863
64,26,2014,42,169971,38898,131073,22.885080396067565
65,27,2014,43,155916,90046,65870,57.75289258318582
66,28,2014,44,93202,19661,73541,21.095040878951096
67,29,2014,45,199424,95246,104178,47.76055038510911
68,30,2014,46,31596,30134,1462,95.37283200405115
69,31,2014,47,106442,101496,4946,95.3533379680953
70,32,2014,48,42180,39992,2188,94.81270744428639
71,33,2014,49,37953,34093,3860,89.82952599267516
72,34,2014,50,159570,64032,95538,40.12784357962023
73,35,2014,51,964638,178012,786626,18.453761929345518
74,36,2014,52,780914,379556,401358,48.60407163913056
75,37,2014,54,40602,24002,16600,59.11531451652628
